"Dolphin.ID","cyc.strength","repro.juvenile.strength","lact.strength","preg.strength","repro.unknown.strength"
"DOD",0.239392921729048,0.141386490063211,0.713369224118785,0.57118710427523,0.364758966274378
"DOP",0,0.978411027050671,0,0,0.7112215699677
"DOU",0,1.62087575167527,0,0,0
"DOY",0,2.79587520638254,0,0,0
"DUC",0.238585434173669,0.828281170742509,1.04644247038463,0.460964912280702,0.924905251775012
"EDE",1.60884939873476,1.48810480120899,1.13970162338924,2.59600829962412,1.5280079537608
"EED",0.252746920972991,0,0,0,0
"ENC",0,0.710229842621147,0,0,0.749927126823412
"EPC",0,0,0,0,0
"ESM",0,0,0,0,0.111111111111111
"ESP",0,0,0.479847053531264,0,1.80828408248813
"FAO",0,0.324675324675325,0,0,1.24664398414247
"FID",0.0294117647058824,0,0,0.00588235294117647,0
"FKY",0,0,0,0,0
"FLF",0,0.915608577246508,0.166666666666667,0.583333333333333,0
"FNT",2.6998585663878,0.170507343795153,0,0,0
"FRK",0,0.094288139704099,0,0,0.1572845512474
"FRL",0.327873812011743,1.00020594668716,0.726922875377546,0.389031499214719,0.993653820460913
"FSB",0,0.922520279395232,0,0,1.41832820489279
"FUF",0,0.265652678302957,0,0,0
"FUT",0,1.78626813843364,1.71396605735178,0,1.6091078170782
"GAB",0,0.357732403979278,0,0,0
"GEK",0,1.05242871640221,0,0,0
"GMP",0.536882262008242,0.660883763716861,0.660918644901287,0.890923909849263,0.840655881825402
"GOD",0.0833333333333333,0,0,0.265744736332972,0
"GRF",0,0,0,0,0
"GRG",0,0.0599161104931405,0,0,0.326950319675992
"GRV",0,0,0,0.18859649122807,0
"GUA",0,0.456054519684571,0,0,0.610695711095711
"GUM",0,0,0,0,0
"HAB",0,0.556474897651368,0,0,0.35536222643608
"HAT",0,0.544592653061135,0,0,1.12065948260282
"HBB",0,0,0,0.715203675167289,0
"HFF",1.0578540384888,2.25329680568288,1.92142984879075,1.4532861208566,1.6647289649932
"HNK",0.245459471775261,0.0701149425287356,0,0.142857142857143,0
"HOW",0,0.616710699907438,0,0,1.44258580539588
"HRS",0.253811791045834,0.569143849943171,0.763052199424173,0.545397146712936,0.734486013206079
"HUB",0,0.507348120991194,0,0,0.215196604957773
"IBL",0.561045751633987,0.138888888888889,1.975,0,0.670701646421461
"IBX",0,0,0,0,0
"IND",0.664343009931245,0.0856006344814208,0.293722018722019,0.0416666666666667,0.385293001690268
"ITG",0,1.09738606009035,0,0,0.838827838827839
"JAC",0,0.323907152114999,0,0,1.19591336034031
"JAH",0,1.0968669514905,0.398830911278536,0.356089743589744,0.761936090225564
"JAS",0,0.0377358490566038,0,0,0
"JMY",0.515263854079644,0.704849967509343,0.178409090909091,1.3267094017094,1.04837259865824
"JND",0,1.44933159781041,0,0,0
"JNI",0.277407407407407,0,0,1.23852454490362,0
"JUI",0.948839997397319,0.731352979021318,0,1.4591217750676,1.10437333223613
"JUM",0.32875298338476,0,0.145686993377061,0,0
"KIT",0,0.0465174129353234,0,0,0
"KIY",0,0.39566510812203,1.07173758936864,2.47627847450692,1.01367699163756
"KNG",0.833333333333333,0.203829787234043,0.617948717948718,0.358516483516483,0.382055852644088
"KOA",0,0.423283890908836,0.166666666666667,0,0.987012268193786
"LAS",0,0,0,0,0
"LDO",0,0.528690679170219,0,0,0.627449348037583
"LEN",1.20405469018031,2.05324648586633,0,2.13940456396238,1.96476765601852
"LEV",0,0,0,0,0
"LIC",0,0.118280738787219,0,0,0
"LIF",0.24906015037594,0,0.353682514819949,0,0
"LIT",0.533633958633959,0.356205013947474,0,0,0
"LLA",0,0,0.825,0.133333333333333,0
"LOO",0,1.12454306374078,0,0,0.452380952380952
"LYR",0.7627658208548,0.952696188782902,0,0.0820793433652531,0.222985347985348
"MDH",0.400439281447346,0,1.66603300081561,0,0.316111111111111
"MEO",0.0416666666666667,0.302631578947368,2.045479695826,1.34285714285714,0
"MIS",0,0,0,0,0
"MNG",0.25,0.1,0.521428571428571,0,1.90242781875442
"MNV",0,0,0.142857142857143,0,0
"MOU",0.693976916660181,0.351502411522223,0,0,0.76978393450791
"MSC",0.0226053639846743,0,0.443055555555556,0.125,0.543646679126962
"MYS",0.568960113960114,0.598888654199186,0.941137034844129,0.467826441011301,1.02912325696154
"NET",0.705919201099088,1.19557932034712,0,0.955207128397918,0.695596805442007
"NIC",0,0.40533092337216,0,0,0
"NIR",0.418297747172872,0.530670762928827,0.758950914492152,2.13474895889468,1.70841350076264
"NOE",0.390478356425375,1.6554207715738,0.657507212003982,1.2523172303561,0.264692458760412
"NUM",0,0.186228890338479,0,0,0.312402004600147
"OLI",0.144270894270894,0,0,0,0
"OMA",3.00898555051479,0,0,0.500534188034188,1.36858916848047
"OPY",0.244270309597693,0.738808092105134,0,0,0.283055004893802
"PDR",0.798717948717949,2.83892268344232,0,1.25197248691675,0.753187875981994
"PDT",0,0,0,0,0
"PEG",0,0.300607081709233,1.15036326086975,0.907769402550888,1.53889207027007
"PHA",0,0.04,0,0,0
"PHX",0,0.622820511220735,0,0,0
"PIC",0,0.560741011759671,0,0,0.255087561232785
"POL",0.140909090909091,1.5913827953843,0.798018115715864,1.20845710870043,0.955718276901007
"PRN",0,0.242857142857143,0,0,2.40064634290441
"PSI",0.0961098398169336,0.122796588141288,0,0.1,0
"PUC",0,0.397636287016818,0,0,0
"PWE",0,0.945571090922378,0,0,0.794640927348157
"PZL",0.511766795368339,0.388227513227513,0.621487451335849,0.955413165266106,1.06318022567449
"PZZ",0,0.219298245614035,0,0.166666666666667,0
"RBD",0,0.416699225350479,0,0,0.921605105113325
"RDC",0.787104784222255,0.681694093800992,0,0.0163934426229508,0.521884278411117
"REG",0.333333333333333,0,0,0,0.690051925300373
