"Combined.ID","Dolphin.ID","Sightings","entrydate","departdate","genotyped","Repro.ID","Age.ID","ReproCat","kin.strength","tot.strength","norm.kin"
"COP.preg.adult","COP",61,2005-11-01,2024-11-30,"Y","COP.preg","COP.adult","preg",0.130434782608696,1.40813347733305,0.0926295587089755
"COP.unknown.adult","COP",61,2005-11-01,2024-11-30,"Y","COP.unknown","COP.adult","unknown",0.05,0.91995123526946,0.0543507069538905
"CRP.juvenile.juvenile","CRP",35,2002-02-01,2024-11-30,"Y","CRP.juvenile","CRP.juvenile","juvenile",0.082258064516129,0.383193536039836,0.214664540968608
"CRP.lact.adult","CRP",35,2002-02-01,2024-11-30,"Y","CRP.lact","CRP.adult","lact",0.0526315789473684,0.133146876853971,0.395289624443029
"CRP.preg.adult","CRP",35,2002-02-01,2024-11-30,"Y","CRP.preg","CRP.adult","preg",0.183333333333333,1.41252169730431,0.129791516606939
"CRP.unknown.adult","CRP",35,2002-02-01,2024-11-30,"Y","CRP.unknown","CRP.adult","unknown",0.111111111111111,1.83775383858445,0.0604602797057389
"CRS.unknown.adult","CRS",19,1995-11-01,2024-11-30,"Y","CRS.unknown","CRS.adult","unknown",0.133333333333333,0.906690891094916,0.147054894499183
"CSK.lact.adult","CSK",66,1999-11-01,2014-05-01,"Y","CSK.lact","CSK.adult","lact",0.1,0.712883762883763,0.140275322859759
"CSK.unknown.adult","CSK",66,1999-11-01,2014-05-01,"Y","CSK.unknown","CSK.adult","unknown",0.0769230769230769,1.08468705561581,0.0709172996255638
"CVO.juvenile.juvenile","CVO",23,2014-02-01,2024-11-30,"Y","CVO.juvenile","CVO.juvenile","juvenile",0.0526315789473684,1.23104185116569,0.0427536877787956
"CYR.unknown.elder","CYR",56,1993-11-01,2024-11-30,"Y","CYR.unknown","CYR.elder","unknown",0.0625,1.32729893651143,0.0470881112617103
"DCH.cyc.adult","DCH",64,2015-02-15,2024-11-30,"Y","DCH.cyc","DCH.adult","cyc",0.114906832298137,0.420273184947098,0.273409859143406
"DCH.juvenile.juvenile","DCH",64,2015-02-15,2024-11-30,"Y","DCH.juvenile","DCH.juvenile","juvenile",0.605701076069641,2.84223156315596,0.21310757502006
"DCH.preg.adult","DCH",64,2015-02-15,2024-11-30,"Y","DCH.preg","DCH.adult","preg",0.295338441890166,0.648894607946332,0.455140847640689
"DCH.unknown.adult","DCH",64,2015-02-15,2024-11-30,"Y","DCH.unknown","DCH.adult","unknown",0.375746606334842,1.28442605438843,0.292540473662184
"DCK.juvenile.juvenile","DCK",16,2021-11-24,2024-11-30,"Y","DCK.juvenile","DCK.juvenile","juvenile",0.0459830866807611,0.93684724398401,0.0490828008259006
"DEM.cyc.elder","DEM",342,1990-11-01,2024-11-30,"Y","DEM.cyc","DEM.elder","cyc",0.015625,0.142050013835086,0.109996469399433
"DEM.lact.adult","DEM",342,1990-11-01,2024-11-30,"Y","DEM.lact","DEM.adult","lact",0.0506329113924051,0.166214853635729,0.304623264918131
"DEM.preg.adult","DEM",342,1990-11-01,2024-11-30,"Y","DEM.preg","DEM.adult","preg",0.0178571428571429,0.239389725374637,0.0745944414665125
"DEM.preg.elder","DEM",342,1990-11-01,2024-11-30,"Y","DEM.preg","DEM.elder","preg",0.139302494871286,0.31148462727724,0.447221091098336
"DEM.unknown.adult","DEM",342,1990-11-01,2024-11-30,"Y","DEM.unknown","DEM.adult","unknown",0.127639127950535,0.599130299882807,0.21304068242835
