"Observation.ID","Observation.Date","Dolphin.ID"
16024,"2006-08-23","AJA"
16072,"2006-08-31","AJA"
16228,"2006-11-09","AJA"
17166,"2009-09-17","AJA"
17485,"2010-05-12","AJA"
17533,"2010-06-03","AJA"
18121,"2011-10-21","AJA"
18139,"2011-10-28","AJA"
18456,"2012-07-30","AJA"
18513,"2012-08-17","AJA"
18558,"2012-09-10","AJA"
19125,"2013-09-09","AJA"
19268,"2013-10-17","AJA"
20275,"2014-12-25","AJA"
20287,"2014-12-27","AJA"
20391,"2015-05-11","AJA"
21171,"2015-09-03","AJA"
21348,"2015-10-09","AJA"
21576,"2016-05-13","AJA"
21466,"2015-12-03","ALB"
21844,"2016-08-25","ALB"
22011,"2016-10-07","ALB"
22337,"2017-07-01","ALB"
22365,"2017-07-12","ALB"
22374,"2017-07-15","ALB"
22391,"2017-07-16","ALB"
22747,"2018-06-06","ALB"
24837,"2018-06-15","ALB"
25533,"2019-05-12","ALB"
25595,"2019-05-30","ALB"
26076,"2019-07-02","ALB"
26185,"2019-07-16","ALB"
25488,"2019-08-03","ALB"
26319,"2019-11-23","ALB"
26685,"2022-05-19","ALB"
26750,"2022-05-26","ALB"
26830,"2022-06-16","ALB"
26919,"2022-07-07","ALB"
27170,"2022-11-10","ALB"
27309,"2022-11-29","ALB"
27831,"2023-06-11","ALB"
28099,"2023-07-05","ALB"
27635,"2023-07-12","ALB"
28114,"2023-07-17","ALB"
28174,"2023-08-10","ALB"
28239,"2023-08-25","ALB"
28679,"2024-06-05","ALB"
28788,"2024-07-14","ALB"
28820,"2024-07-21","ALB"
26774,"2022-05-28","ALF"
26815,"2022-06-13","ALF"
26925,"2022-07-08","ALF"
27687,"2023-07-13","ALF"
27690,"2023-07-26","ALF"
28463,"2023-09-22","ALF"
688,"1988-05-10","ALG"
692,"1988-05-14","ALG"
696,"1988-05-16","ALG"
732,"1988-07-10","ALG"
830,"1988-08-22","ALG"
933,"1988-12-07","ALG"
1023,"1989-05-31","ALG"
1075,"1989-06-16","ALG"
1081,"1989-06-17","ALG"
1181,"1989-07-13","ALG"
1306,"1990-03-28","ALG"
1311,"1990-03-29","ALG"
1379,"1990-04-18","ALG"
1500,"1990-06-01","ALG"
1661,"1990-08-16","ALG"
1804,"1990-09-16","ALG"
1821,"1990-09-28","ALG"
1846,"1990-10-11","ALG"
1854,"1990-10-15","ALG"
1876,"1990-10-21","ALG"
1891,"1990-10-22","ALG"
1897,"1990-10-24","ALG"
1969,"1990-11-25","ALG"
1972,"1990-11-26","ALG"
2003,"1990-12-12","ALG"
2061,"1991-03-13","ALG"
2151,"1991-04-27","ALG"
2192,"1991-05-15","ALG"
2201,"1991-05-16","ALG"
2448,"1991-08-25","ALG"
2453,"1991-08-26","ALG"
2481,"1991-09-10","ALG"
2489,"1991-09-11","ALG"
2518,"1991-09-19","ALG"
2524,"1991-09-20","ALG"
2552,"1991-09-28","ALG"
2710,"1991-11-03","ALG"
2715,"1991-11-04","ALG"
2745,"1991-11-17","ALG"
2992,"1992-10-20","ALG"
3019,"1992-10-31","ALG"
3035,"1992-11-03","ALG"
3078,"1993-01-05","ALG"
3089,"1993-01-29","ALG"
3111,"1993-03-20","ALG"
3388,"1993-08-07","ALG"
3761,"1994-05-12","ALG"
3964,"1994-08-03","ALG"
4063,"1994-09-15","ALG"
4227,"1995-08-11","ALG"
4267,"1995-08-15","ALG"
4299,"1995-08-23","ALG"
4385,"1995-09-24","ALG"
4529,"1996-07-07","ALG"
4562,"1996-07-12","ALG"
4576,"1996-07-19","ALG"
4590,"1996-07-21","ALG"
4621,"1996-07-28","ALG"
