"Age.ID","Combined.ID","Dolphin.ID","Sightings","entrydate","departdate","genotyped","Repro.ID","AgeCat","AgeSightings","tot.strength","age.strength","norm.age","avg.tot.age.str","norm.age.indiv","ReproCat"
"FRK.juvenile","FRK.juvenile.juvenile","FRK",22,2012-01-01,2024-11-30,"Y","FRK.juvenile","juvenile",14,0.131958178071731,0.0824712490445973,0.624980203953459,0.0824712490445973,1,"juvenile"
"FRL.juvenile","FRL.juvenile.juvenile","FRL",64,1999-11-01,2024-11-30,"Y","FRL.juvenile","juvenile",19,1.2082603754821,0.928793875976529,0.768703414283479,1.0650804891474,0.872041019848212,"juvenile"
"FSB.juvenile","FSB.juvenile.juvenile","FSB",52,2011-11-01,2024-11-30,"Y","FSB.juvenile","juvenile",26,1.18921815014894,0.671802509326226,0.564911079806584,0.898158040713314,0.747978060512249,"juvenile"
"FUF.juvenile","FUF.juvenile.juvenile","FUF",205,1991-11-01,2024-11-30,"Y","FUF.juvenile","juvenile",54,0.53959500109091,0.403642214172847,0.748046615251801,1.00440146116898,0.40187338407798,"juvenile"
"FUT.juvenile","FUT.juvenile.juvenile","FUT",261,2011-11-13,2024-11-30,"Y","FUT.juvenile","juvenile",140,2.49757033488622,1.93559845510329,0.774992571006601,2.04589243614183,0.9460900391975,"juvenile"
"GAB.juvenile","GAB.juvenile.juvenile","GAB",118,1994-11-01,2024-11-30,"Y","GAB.juvenile","juvenile",10,0.445519658184442,0.299717488870774,0.672736844188125,0.87644680389532,0.341968830896177,"juvenile"
"GEK.juvenile","GEK.juvenile.juvenile","GEK",43,2013-11-08,2024-11-30,"Y","GEK.juvenile","juvenile",43,1.61857946475574,1.24319488172795,0.768077755092219,1.24319488172795,1,"juvenile"
"GMP.juvenile","GMP.juvenile.juvenile","GMP",115,2001-11-01,2024-11-30,"Y","GMP.juvenile","juvenile",41,1.08314830379345,0.865219909450785,0.798800964208293,1.0518141934206,0.822597674440017,"juvenile"
"GOD.adult","GOD.cyc.adult","GOD",44,1986-11-01,2019-12-15,"Y","GOD.cyc","adult",17,0.111904761904762,0.309193295200287,2.76300391455576,0.624857803647462,0.494821851300317,"cyc"
"GRG.juvenile","GRG.juvenile.juvenile","GRG",30,2000-10-18,2016-05-01,"Y","GRG.juvenile","juvenile",18,0.294549505455323,0.160170221496273,0.543780310371519,0.161037300189353,0.994615665488306,"juvenile"
"GUA.juvenile","GUA.juvenile.juvenile","GUA",83,2010-11-01,2024-11-30,"Y","GUA.juvenile","juvenile",36,0.607749433127574,0.488810155644672,0.804295535298451,0.483882285614612,1.01018402652166,"juvenile"
"GUM.adult","GUM.cyc.adult","GUM",176,1976-11-01,2017-05-01,"Y","GUM.cyc","adult",77,0.0780792135930663,0.371541199007873,4.75851615186948,0.53118923442601,0.699451673581735,"cyc"
"GUM.elder","GUM.lact.elder","GUM",176,1976-11-01,2017-05-01,"Y","GUM.lact","elder",91,0.509132781110501,0.690837269844146,1.35689017772008,0.53118923442601,1.30054832641827,"lact"
"HAT.juvenile","HAT.juvenile.juvenile","HAT",47,2002-11-01,2024-11-30,"Y","HAT.juvenile","juvenile",26,0.746709105025596,0.627611366288787,0.840503165241668,0.706003000639322,0.888964162645842,"juvenile"
"HBB.elder","HBB.lact.elder","HBB",144,1985-11-01,2017-05-01,"Y","HBB.lact","elder",27,0.356057332890857,0.252515409418661,0.709198733160384,0.544530669555798,0.46373037100858,"lact"
"HFF.juvenile","HFF.juvenile.juvenile","HFF",233,2009-12-10,2024-11-30,"Y","HFF.juvenile","juvenile",112,2.75076360371453,2.04559394245559,0.743645851534932,2.32109877496756,0.881304132558589,"juvenile"
"HOW.juvenile","HOW.juvenile.juvenile","HOW",42,2005-11-01,2021-05-01,"Y","HOW.juvenile","juvenile",13,0.86940911260585,0.444645457506841,0.511434089037922,0.79191864314042,0.561478709155731,"juvenile"
"HRS.adult","HRS.lact.adult","HRS",70,2001-10-15,2024-11-30,"Y","HRS.lact","adult",39,0.874163310535284,0.801624773185057,0.917019467099565,0.811432881961064,0.987912606212971,"lact"
"HRS.juvenile","HRS.juvenile.juvenile","HRS",70,2001-10-15,2024-11-30,"Y","HRS.juvenile","juvenile",31,0.967550187442292,0.821240990737071,0.848783868160899,0.811432881961064,1.01208739378703,"juvenile"
"HUB.juvenile","HUB.juvenile.juvenile","HUB",34,2011-12-01,2024-11-30,"Y","HUB.juvenile","juvenile",22,0.507348120991194,0.418278028339242,0.824439888576038,0.304510588519982,1.37360750039007,"juvenile"
"IBL.juvenile","IBL.juvenile.juvenile","IBL",30,2003-11-01,2024-11-30,"Y","IBL.juvenile","juvenile",10,0.138888888888889,0.0555555555555556,0.4,0.238668516940576,0.232772869533471,"juvenile"
