"Dolphin1","Dolphin2","IDPair","DyadML","Closekin"
"ALG","OLI","ALG.OLI",NA,"N"
"ALG","OMA","ALG.OMA",NA,"N"
"ALG","OPY","ALG.OPY",NA,"N"
"ALG","OSI","ALG.OSI",NA,"N"
"ALG","PDR","ALG.PDR",NA,"N"
"ALG","PDT","ALG.PDT",NA,"N"
"ALG","PDX","ALG.PDX",NA,"N"
"ALG","PEG","ALG.PEG",NA,"N"
"ALG","PGP","ALG.PGP",NA,"N"
"ALG","PHA","ALG.PHA",NA,"N"
"ALG","PHO","ALG.PHO",NA,"N"
"ALG","PHX","ALG.PHX",NA,"N"
"ALG","PIC","ALG.PIC",NA,"N"
"ALG","PIL","ALG.PIL",NA,"N"
"ALG","PIX","ALG.PIX",NA,"N"
"ALG","PKA","ALG.PKA",NA,"N"
"ALG","PNF","ALG.PNF",NA,"N"
"ALG","POK","ALG.POK",NA,"N"
"ALG","POL","ALG.POL",NA,"N"
"ALG","POS","ALG.POS",NA,"N"
"ALG","PRN","ALG.PRN",NA,"N"
"ALG","PRS","ALG.PRS",NA,"N"
"ALG","PSI","ALG.PSI",NA,"N"
"ALG","PSU","ALG.PSU",NA,"N"
"ALG","PTE","ALG.PTE",NA,"N"
"ALG","PUC","ALG.PUC",NA,"N"
"ALG","PWE","ALG.PWE",NA,"N"
"ALG","PZL","ALG.PZL",NA,"N"
"ALG","PZZ","ALG.PZZ",NA,"N"
"ALG","QUI","ALG.QUI",NA,"N"
"ALG","QUO","ALG.QUO",NA,"N"
"ALG","RAP","ALG.RAP",NA,"N"
"ALG","RAZ","ALG.RAZ",NA,"N"
"ALG","RBD","ALG.RBD",NA,"N"
"ALG","RDC","ALG.RDC",NA,"N"
"ALG","REG","ALG.REG",NA,"N"
"ALG","REN","ALG.REN",NA,"N"
"ALG","REP","ALG.REP",NA,"N"
"ALG","RHO","ALG.RHO",NA,"N"
"ALG","RHY","ALG.RHY",NA,"N"
"ALG","RIP","ALG.RIP",NA,"N"
"ALG","RKS","ALG.RKS",NA,"N"
"ALG","RKT","ALG.RKT",NA,"N"
"ALG","RLF","ALG.RLF",NA,"N"
"ALG","RPC","ALG.RPC",NA,"N"
"ALG","RSH","ALG.RSH",NA,"N"
"ALG","RSO","ALG.RSO",NA,"N"
"ALG","RUF","ALG.RUF",NA,"N"
"ALG","SAS","ALG.SAS",NA,"N"
"ALG","SCA","ALG.SCA",NA,"N"
"ALG","SCH","ALG.SCH",NA,"N"
"ALG","SCR","ALG.SCR",NA,"N"
"ALG","SCT","ALG.SCT",NA,"N"
"ALG","SCU","ALG.SCU",NA,"N"
"ALG","SEM","ALG.SEM",NA,"N"
"ALG","SEQ","ALG.SEQ",NA,"N"
"ALG","SER","ALG.SER",NA,"N"
"ALG","SGG","ALG.SGG",NA,"N"
"ALG","SHB","ALG.SHB",NA,"N"
"ALG","SHC","ALG.SHC",NA,"N"
"ALG","SHO","ALG.SHO",NA,"N"
"ALG","SKF","ALG.SKF",NA,"N"
"ALG","SKR","ALG.SKR",NA,"N"
"ALG","SKW","ALG.SKW",NA,"N"
"ALG","SLI","ALG.SLI",NA,"N"
"ALG","SLT","ALG.SLT",NA,"N"
"ALG","SLV","ALG.SLV",NA,"N"
"ALG","SMB","ALG.SMB",NA,"N"
"ALG","SNW","ALG.SNW",NA,"N"
"ALG","SOG","ALG.SOG",NA,"N"
"ALG","SON","ALG.SON",NA,"N"
"ALG","SOP","ALG.SOP",NA,"N"
"ALG","SPE","ALG.SPE",NA,"N"
"ALG","SPO","ALG.SPO",NA,"N"
"ALG","SQE","ALG.SQE",NA,"N"
"ALG","SQL","ALG.SQL",NA,"N"
"ALG","SQU","ALG.SQU",NA,"N"
"ALG","STV","ALG.STV",NA,"N"
"ALG","SUM","ALG.SUM",NA,"N"
"ALG","SUP","ALG.SUP",NA,"N"
"ALG","SUR","ALG.SUR",NA,"N"
"ALG","SVD","ALG.SVD",NA,"N"
"ALG","SYM","ALG.SYM",NA,"N"
"ALG","TAB","ALG.TAB",NA,"N"
"ALG","TAF","ALG.TAF",NA,"N"
"ALG","TAL","ALG.TAL",NA,"N"
"ALG","TAM","ALG.TAM",NA,"N"
"ALG","TAT","ALG.TAT",NA,"N"
"ALG","TAW","ALG.TAW",NA,"N"
"ALG","TBA","ALG.TBA",NA,"N"
"ALG","TDL","ALG.TDL",NA,"N"
"ALG","TDM","ALG.TDM",NA,"N"
"ALG","TDO","ALG.TDO",NA,"N"
"ALG","THU","ALG.THU",NA,"N"
"ALG","TIP","ALG.TIP",NA,"N"
"ALG","TOG","ALG.TOG",NA,"N"
"ALG","TON","ALG.TON",NA,"N"
"ALG","TOR","ALG.TOR",NA,"N"
"ALG","TRE","ALG.TRE",NA,"N"
"ALG","TRY","ALG.TRY",NA,"N"
"ALG","TST","ALG.TST",NA,"N"
"ALG","TTM","ALG.TTM",NA,"N"
"ALG","TUF","ALG.TUF",NA,"N"
"ALG","TUK","ALG.TUK",NA,"N"
"ALG","TUL","ALG.TUL",NA,"N"
"ALG","TUN","ALG.TUN",NA,"N"
"ALG","TUX","ALG.TUX",NA,"N"
"ALG","TWE","ALG.TWE",NA,"N"
"ALG","TWO","ALG.TWO",NA,"N"
"ALG","UHF","ALG.UHF",NA,"N"
"ALG","URP","ALG.URP",NA,"N"
"ALG","URS","ALG.URS",NA,"N"
"ALG","UVE","ALG.UVE",NA,"N"
"ALG","VAM","ALG.VAM",NA,"N"
"ALG","VBE","ALG.VBE",NA,"N"
"ALG","VEC","ALG.VEC",NA,"N"
"ALG","VEG","ALG.VEG",NA,"N"
"ALG","VEN","ALG.VEN",NA,"N"
"ALG","VLT","ALG.VLT",NA,"N"
"ALG","WAC","ALG.WAC",NA,"N"
"ALG","WAN","ALG.WAN",NA,"N"
"ALG","WED","ALG.WED",NA,"N"
"ALG","WEE","ALG.WEE",NA,"N"
"ALG","WES","ALG.WES",NA,"N"
"ALG","WHE","ALG.WHE",NA,"N"
"ALG","WHL","ALG.WHL",NA,"N"
"ALG","WHN","ALG.WHN",NA,"N"
"ALG","WHO","ALG.WHO",NA,"N"
"ALG","WHT","ALG.WHT",NA,"N"
"ALG","WHZ","ALG.WHZ",NA,"N"
"ALG","WIF","ALG.WIF",NA,"N"
"ALG","WIY","ALG.WIY",NA,"N"
"ALG","WLB","ALG.WLB",NA,"N"
"ALG","WLV","ALG.WLV",NA,"N"
"ALG","WNG","ALG.WNG",NA,"N"
"ALG","WOF","ALG.WOF",NA,"N"
"ALG","WOM","ALG.WOM",NA,"N"
"ALG","WON","ALG.WON",NA,"N"
"ALG","WOP","ALG.WOP",NA,"N"
"ALG","WPY","ALG.WPY",NA,"N"
"ALG","WYL","ALG.WYL",NA,"N"
"ALG","YAD","ALG.YAD",NA,"N"
"ALG","YAN","ALG.YAN",NA,"N"
"ALG","YIN","ALG.YIN",NA,"N"
"ALG","YOG","ALG.YOG",NA,"N"
"ALG","ZAG","ALG.ZAG",NA,"N"
"ALG","ZEP","ALG.ZEP",NA,"N"
"ALG","ZIG","ALG.ZIG",NA,"N"
"ALG","ZIP","ALG.ZIP",NA,"N"
"ALG","ZOE","ALG.ZOE",NA,"N"
"ALI","ALT","ALI.ALT",NA,"N"
"ALI","AMA","ALI.AMA",NA,"N"
"ALI","AMO","ALI.AMO",NA,"N"
"ALI","AMP","ALI.AMP",NA,"N"
"ALI","ANE","ALI.ANE",NA,"N"
"ALI","ARI","ALI.ARI",NA,"N"
"ALI","ASN","ALI.ASN",NA,"N"
"ALI","ATC","ALI.ATC",NA,"N"
"ALI","ATH","ALI.ATH",NA,"N"
"ALI","ATW","ALI.ATW",NA,"N"
"ALI","BAD","ALI.BAD",NA,"N"
"ALI","BAN","ALI.BAN",NA,"N"
"ALI","BAY","ALI.BAY",NA,"N"
"ALI","BES","ALI.BES",NA,"N"
"ALI","BIS","ALI.BIS",NA,"N"
"ALI","BLB","ALI.BLB",NA,"N"
"ALI","BLI","ALI.BLI",NA,"N"
"ALI","BLK","ALI.BLK",NA,"N"
"ALI","BLM","ALI.BLM",NA,"N"
"ALI","BMB","ALI.BMB",NA,"N"
"ALI","BMN","ALI.BMN",NA,"N"
"ALI","BMY","ALI.BMY",NA,"N"
"ALI","BNG","ALI.BNG",NA,"N"
"ALI","BOJ","ALI.BOJ",NA,"N"
"ALI","BOM","ALI.BOM",NA,"N"
"ALI","BOR","ALI.BOR",NA,"N"
"ALI","BRE","ALI.BRE",NA,"N"
"ALI","BRP","ALI.BRP",NA,"N"
"ALI","BRT","ALI.BRT",NA,"N"
"ALI","BSC","ALI.BSC",NA,"N"
"ALI","BSS","ALI.BSS",NA,"N"
"ALI","BUL","ALI.BUL",NA,"N"
"ALI","BUS","ALI.BUS",NA,"N"
"ALI","BUT","ALI.BUT",NA,"N"
"ALI","BWS","ALI.BWS",NA,"N"
"ALI","BYT","ALI.BYT",NA,"N"
"ALI","BZD","ALI.BZD",NA,"N"
"ALI","CAB","ALI.CAB",NA,"N"
"ALI","CAD","ALI.CAD",NA,"N"
"ALI","CAL","ALI.CAL",NA,"N"
"ALI","CCO","ALI.CCO",NA,"N"
"ALI","CCU","ALI.CCU",NA,"N"
"ALI","CDB","ALI.CDB",NA,"N"
"ALI","CED","ALI.CED",NA,"N"
"ALI","CER","ALI.CER",NA,"N"
"ALI","CHA","ALI.CHA",NA,"N"
"ALI","CHC","ALI.CHC",NA,"N"
"ALI","CHL","ALI.CHL",NA,"N"
"ALI","CHM","ALI.CHM",NA,"N"
"ALI","CHS","ALI.CHS",NA,"N"
"ALI","CHT","ALI.CHT",NA,"N"
"ALI","CII","ALI.CII",NA,"N"
"ALI","CKY","ALI.CKY",NA,"N"
"ALI","CLA","ALI.CLA",NA,"N"
"ALI","CLO","ALI.CLO",NA,"N"
"ALI","CLV","ALI.CLV",NA,"N"
"ALI","COC","ALI.COC",NA,"N"
"ALI","COI","ALI.COI",NA,"N"
"ALI","COK","ALI.COK",NA,"N"
"ALI","COP","ALI.COP",NA,"N"
"ALI","COR","ALI.COR",NA,"N"
"ALI","COU","ALI.COU",NA,"N"
"ALI","CRE","ALI.CRE",NA,"N"
"ALI","CRO","ALI.CRO",NA,"N"
"ALI","CRP","ALI.CRP",NA,"N"
"ALI","CRS","ALI.CRS",NA,"N"
"ALI","CRV","ALI.CRV",NA,"N"
"ALI","CSK","ALI.CSK",NA,"N"
"ALI","CTY","ALI.CTY",NA,"N"
"ALI","CUR","ALI.CUR",NA,"N"
"ALI","CVO","ALI.CVO",NA,"N"
"ALI","CYR","ALI.CYR",NA,"N"
"ALI","CYS","ALI.CYS",NA,"N"
"ALI","DBH","ALI.DBH",NA,"N"
"ALI","DCH","ALI.DCH",NA,"N"
"ALI","DCK","ALI.DCK",NA,"N"
"ALI","DCR","ALI.DCR",NA,"N"
"ALI","DEM","ALI.DEM",NA,"N"
"ALI","DEN","ALI.DEN",NA,"N"
"ALI","DID","ALI.DID",NA,"N"
"ALI","DJY","ALI.DJY",NA,"N"
"ALI","DMK","ALI.DMK",NA,"N"
"ALI","DNZ","ALI.DNZ",NA,"N"
"ALI","DOD","ALI.DOD",NA,"N"
"ALI","DOP","ALI.DOP",NA,"N"
"ALI","DOU","ALI.DOU",NA,"N"
"ALI","DOY","ALI.DOY",NA,"N"
"ALI","DOZ","ALI.DOZ",NA,"N"
"ALI","DUC","ALI.DUC",NA,"N"
"ALI","DUN","ALI.DUN",NA,"N"
"ALI","DUR","ALI.DUR",NA,"N"
"ALI","EDE","ALI.EDE",NA,"N"
"ALI","EED","ALI.EED",NA,"N"
"ALI","EFT","ALI.EFT",NA,"N"
"ALI","ENC","ALI.ENC",NA,"N"
"ALI","EPC","ALI.EPC",NA,"N"
"ALI","EQU","ALI.EQU",NA,"N"
"ALI","ESM","ALI.ESM",NA,"N"
"ALI","ESP","ALI.ESP",NA,"N"
"ALI","EST","ALI.EST",NA,"N"
"ALI","FAO","ALI.FAO",NA,"N"
"ALI","FAT","ALI.FAT",NA,"N"
"ALI","FCN","ALI.FCN",NA,"N"
"ALI","FEA","ALI.FEA",NA,"N"
"ALI","FEN","ALI.FEN",NA,"N"
"ALI","FID","ALI.FID",NA,"N"
"ALI","FIN","ALI.FIN",NA,"N"
"ALI","FKY","ALI.FKY",NA,"N"
"ALI","FLF","ALI.FLF",NA,"N"
"ALI","FLI","ALI.FLI",NA,"N"
"ALI","FNT","ALI.FNT",NA,"N"
"ALI","FOA","ALI.FOA",NA,"N"
"ALI","FOO","ALI.FOO",NA,"N"
"ALI","FRA","ALI.FRA",NA,"N"
"ALI","FRK","ALI.FRK",NA,"N"
"ALI","FRL","ALI.FRL",NA,"N"
"ALI","FRO","ALI.FRO",NA,"N"
"ALI","FSB","ALI.FSB",NA,"N"
"ALI","FUF","ALI.FUF",NA,"N"
"ALI","FUT","ALI.FUT",NA,"N"
"ALI","GAB","ALI.GAB",NA,"N"
"ALI","GAF","ALI.GAF",NA,"N"
"ALI","GAN","ALI.GAN",NA,"N"
"ALI","GEK","ALI.GEK",NA,"N"
"ALI","GHA","ALI.GHA",NA,"N"
"ALI","GMP","ALI.GMP",NA,"N"
"ALI","GNO","ALI.GNO",NA,"N"
"ALI","GOB","ALI.GOB",NA,"N"
"ALI","GOD","ALI.GOD",NA,"N"
"ALI","GOO","ALI.GOO",NA,"N"
"ALI","GRF","ALI.GRF",NA,"N"
"ALI","GRG","ALI.GRG",NA,"N"
"ALI","GRV","ALI.GRV",NA,"N"
"ALI","GTL","ALI.GTL",NA,"N"
"ALI","GUA","ALI.GUA",NA,"N"
"ALI","GUM","ALI.GUM",NA,"N"
"ALI","HAB","ALI.HAB",NA,"N"
"ALI","HAL","ALI.HAL",NA,"N"
"ALI","HAM","ALI.HAM",NA,"N"
"ALI","HAT","ALI.HAT",NA,"N"
"ALI","HBB","ALI.HBB",NA,"N"
"ALI","HEA","ALI.HEA",NA,"N"
"ALI","HFF","ALI.HFF",NA,"N"
"ALI","HIC","ALI.HIC",NA,"N"
"ALI","HLL","ALI.HLL",NA,"N"
"ALI","HNK","ALI.HNK",NA,"N"
"ALI","HOH","ALI.HOH",NA,"N"
"ALI","HOL","ALI.HOL",NA,"N"
"ALI","HOW","ALI.HOW",NA,"N"
"ALI","HPP","ALI.HPP",NA,"N"
"ALI","HRA","ALI.HRA",NA,"N"
"ALI","HRS","ALI.HRS",NA,"N"
"ALI","HUB","ALI.HUB",NA,"N"
"ALI","HUL","ALI.HUL",NA,"N"
"ALI","HYM","ALI.HYM",NA,"N"
"ALI","HYR","ALI.HYR",NA,"N"
"ALI","IBL","ALI.IBL",NA,"N"
"ALI","IBX","ALI.IBX",NA,"N"
"ALI","IND","ALI.IND",NA,"N"
"ALI","ITG","ALI.ITG",NA,"N"
"ALI","JAB","ALI.JAB",NA,"N"
"ALI","JAC","ALI.JAC",NA,"N"
"ALI","JAG","ALI.JAG",NA,"N"
"ALI","JAH","ALI.JAH",NA,"N"
"ALI","JAS","ALI.JAS",NA,"N"
"ALI","JCR","ALI.JCR",NA,"N"
"ALI","JEL","ALI.JEL",NA,"N"
"ALI","JFR","ALI.JFR",NA,"N"
"ALI","JIT","ALI.JIT",NA,"N"
"ALI","JMC","ALI.JMC",NA,"N"
"ALI","JMY","ALI.JMY",NA,"N"
"ALI","JND","ALI.JND",NA,"N"
"ALI","JNG","ALI.JNG",NA,"N"
"ALI","JNI","ALI.JNI",NA,"N"
"ALI","JOK","ALI.JOK",NA,"N"
"ALI","JOL","ALI.JOL",NA,"N"
"ALI","JOY","ALI.JOY",NA,"N"
"ALI","JUI","ALI.JUI",NA,"N"
"ALI","JUM","ALI.JUM",NA,"N"
"ALI","KEA","ALI.KEA",NA,"N"
"ALI","KES","ALI.KES",NA,"N"
