"Repro.ID","Dolphin.ID","Combined.ID","Sightings","entrydate","departdate","genotyped","Age.ID","repro.strength","ReproCat","norm_repro","avg.tot.repro.str","norm.repro.indiv"
"CAD.unknown","CAD","CAD.unknown.adult",14,2000-11-01,2024-11-30,"Y","CAD.adult",0.616803918663308,"unknown","",0.423005449726093,1.45814650629845
"CCU.juvenile","CCU","CCU.juvenile.juvenile",16,2015-11-15,2019-05-01,"Y","CCU.juvenile",0.795494875939754,"juvenile","1.15444706445616",0.795494875939754,1
"CDB.juvenile","CDB","CDB.juvenile.juvenile",40,2012-01-15,2024-11-30,"Y","CDB.juvenile",0.742275665624931,"juvenile","1.07721368058547",0.507679669826992,1.46209452483667
"CDB.lact","CDB","CDB.lact.adult",40,2012-01-15,2024-11-30,"Y","CDB.adult",0.273083674029052,"lact","0.685411631178874",0.507679669826992,0.537905475163333
"CER.unknown","CER","CER.unknown.adult",10,1999-11-01,2024-11-30,"Y","CER.adult",0.514797747055811,"unknown","",0.514797747055811,1
"CHC.juvenile","CHC","CHC.juvenile.juvenile",24,1996-11-01,2015-07-28,"Y","CHC.juvenile",0,"juvenile","0",0.0454545454545455,0
"CHC.unknown","CHC","CHC.unknown.adult",24,1996-11-01,2015-07-28,"Y","CHC.adult",0.0909090909090909,"unknown","",0.0454545454545455,2
"CHL.juvenile","CHL","CHL.juvenile.juvenile",35,2004-05-01,2017-05-01,"Y","CHL.juvenile",0.382638226806669,"juvenile","0.555296572041182",0.474679641763863,0.806097825019044
"CHL.lact","CHL","CHL.lact.adult",35,2004-05-01,2017-05-01,"Y","CHL.adult",0.566721056721057,"lact","1.42241093427383",0.474679641763863,1.19390217498096
"CHT.juvenile","CHT","CHT.juvenile.juvenile",33,1997-11-01,2024-11-30,"Y","CHT.juvenile",0.027027027027027,"juvenile","0.0392224676186246",0.379190364281545,0.0712756166107632
"CHT.unknown","CHT","CHT.unknown.adult",33,1997-11-01,2024-11-30,"Y","CHT.adult",0.731353701536063,"unknown","",0.379190364281545,1.92872438338924
"CLA.cyc","CLA","CLA.cyc.adult",49,1997-11-01,2024-11-30,"Y","CLA.adult",0,"cyc","0",0.126480475169991,0
"CLA.juvenile","CLA","CLA.juvenile.juvenile",49,1997-11-01,2024-11-30,"Y","CLA.juvenile",0.140559440559441,"juvenile","0.203984259915882",0.126480475169991,1.11131334991055
"CLA.preg","CLA","CLA.preg.adult",49,1997-11-01,2024-11-30,"Y","CLA.adult",0.05,"preg","0.109435410503103",0.126480475169991,0.395317932928378
"CLA.unknown","CLA","CLA.unknown.adult",49,1997-11-01,2024-11-30,"Y","CLA.adult",0.315362460120525,"unknown","",0.126480475169991,2.49336871716108
"CLO.juvenile","CLO","CLO.juvenile.juvenile",118,1996-11-01,2024-11-30,"Y","CLO.juvenile",0.931890928770124,"juvenile","1.35238928577772",0.88729916854456,1.0502556091636
"CLO.lact","CLO","CLO.lact.adult",118,1996-11-01,2024-11-30,"Y","CLO.adult",2.59797826113687,"lact","6.52065534149669",0.88729916854456,2.92796201465888
"CLO.preg","CLO","CLO.preg.adult",118,1996-11-01,2024-11-30,"Y","CLO.adult",0.9066266528158,"preg","1.98434119847903",0.88729916854456,1.02178237617752
"CLO.unknown","CLO","CLO.unknown.adult",118,1996-11-01,2024-11-30,"Y","CLO.adult",0,"unknown","",0.88729916854456,0
"CLO.unknown","CLO","CLO.unknown.elder",118,1996-11-01,2024-11-30,"Y","CLO.elder",0,"unknown","",0.88729916854456,0
"CLV.cyc","CLV","CLV.cyc.adult",50,2000-11-01,2024-11-30,"Y","CLV.adult",1.86597088478261,"cyc","6.28918066044167",1.48146377818197,1.25954539845213
"CLV.juvenile","CLV","CLV.juvenile.juvenile",50,2000-11-01,2024-11-30,"Y","CLV.juvenile",1.20832803119187,"juvenile","1.75356346181568",1.48146377818197,0.815631167624435
"CLV.unknown","CLV","CLV.unknown.adult",50,2000-11-01,2024-11-30,"Y","CLV.adult",1.37009241857145,"unknown","",1.48146377818197,0.924823433923439
"COI.cyc","COI","COI.cyc.adult",73,2003-11-01,2024-11-30,"Y","COI.adult",0.225025649650997,"cyc","0.758440003233625",0.479763006272861,0.469035016682831
"COI.juvenile","COI","COI.juvenile.juvenile",73,2003-11-01,2024-11-30,"Y","COI.juvenile",0.451804639440703,"juvenile","0.65567303509507",0.479763006272861,0.941724629730502
"COI.lact","COI","COI.lact.adult",73,2003-11-01,2024-11-30,"Y","COI.adult",0.459051435355348,"lact","1.15217137831696",0.479763006272861,0.956829579090695
"COI.preg","COI","COI.preg.adult",73,2003-11-01,2024-11-30,"Y","COI.adult",0.429689476956414,"preg","0.940464885991778",0.479763006272861,0.895628615250155
"COI.unknown","COI","COI.unknown.adult",73,2003-11-01,2024-11-30,"Y","COI.adult",0.833243829960844,"unknown","",0.479763006272861,1.73678215924582
"COK.cyc","COK","COK.cyc.adult",31,2011-01-21,2024-11-30,"Y","COK.adult",0.476562326562327,"cyc","1.60623436954648",0.237283017431759,2.00841312505385
"COK.juvenile","COK","COK.juvenile.juvenile",31,2011-01-21,2024-11-30,"Y","COK.juvenile",0.23528672573295,"juvenile","0.341455461302655",0.237283017431759,0.991586874946147
"COK.lact","COK","COK.lact.adult",31,2011-01-21,2024-11-30,"Y","COK.adult",0,"lact","0",0.237283017431759,0
"COP.cyc","COP","COP.cyc.adult",61,2005-11-01,2024-11-30,"Y","COP.adult",1.6773821598669,"cyc","5.65354986298932",1.08371247885589,1.54781105929292
"COP.juvenile","COP","COP.juvenile.juvenile",61,2005-11-01,2024-11-30,"Y","COP.juvenile",1.37149389903687,"juvenile","1.99035487663225",1.08371247885589,1.26555145003479
"COP.lact","COP","COP.lact.adult",61,2005-11-01,2024-11-30,"Y","COP.adult",0.653607099499663,"lact","1.640485868703",1.08371247885589,0.603118550586124
"COP.preg","COP","COP.preg.adult",61,2005-11-01,2024-11-30,"Y","COP.adult",1.13522586382189,"preg","2.48467816842178",1.08371247885589,1.04753418085615
"COP.unknown","COP","COP.unknown.adult",61,2005-11-01,2024-11-30,"Y","COP.adult",0.580853372054142,"unknown","",1.08371247885589,0.535984759230018
"CRP.juvenile","CRP","CRP.juvenile.juvenile",35,2002-02-01,2024-11-30,"Y","CRP.juvenile",0.156433888691953,"juvenile","0.227021755945999",0.591325787393065,0.264547719763097
"CRP.lact","CRP","CRP.lact.adult",35,2002-02-01,2024-11-30,"Y","CRP.adult",0.0961098398169336,"lact","0.241225706060541",0.591325787393065,0.162532806561077
"CRP.preg","CRP","CRP.preg.adult",35,2002-02-01,2024-11-30,"Y","CRP.adult",0.917257722149027,"preg","2.0076095072104",0.591325787393065,1.55118843403207
"CRP.unknown","CRP","CRP.unknown.adult",35,2002-02-01,2024-11-30,"Y","CRP.adult",1.19550169891435,"unknown","",0.591325787393065,2.02173103964376
"CRS.unknown","CRS","CRS.unknown.adult",19,1995-11-01,2024-11-30,"Y","CRS.adult",0,"unknown","",0,NA
"CRV.juvenile","CRV","CRV.juvenile.juvenile",145,1998-11-01,2024-11-30,"Y","CRV.juvenile",0.617815330801986,"juvenile","0.896592946846816",1.20625722051504,0.512175446741115
"CRV.unknown","CRV","CRV.unknown.adult",145,1998-11-01,2024-11-30,"Y","CRV.adult",1.79469911022809,"unknown","",1.20625722051504,1.48782455325889
"CSK.juvenile","CSK","CSK.juvenile.juvenile",66,1999-11-01,2014-05-01,"Y","CSK.juvenile",0.53476677796189,"juvenile","0.776070287388678",0.658173251364309,0.812501536416722
"CSK.lact","CSK","CSK.lact.adult",66,1999-11-01,2014-05-01,"Y","CSK.adult",0.712883762883763,"lact","1.78926413120951",0.658173251364309,1.08312478728974
