"ID1","ID2","weight","Dolphin.ID1","Dolphin.ID2","IDPair","DyadML","Closekin","State1","State2","shared_state"
"NET.cyc","ANE.cyc",0.0588235294117647,"NET","ANE","ANE.NET",0,"N","cyc","cyc","Y"
"ANE.juvenile","NIR.cyc",0.0263157894736842,"ANE","NIR","ANE.NIR",0.0043,"N","juvenile","cyc","N"
"ANE.juvenile","NOE.juvenile",0.0108695652173913,"ANE","NOE","ANE.NOE",0.0058,"N","juvenile","juvenile","Y"
"POL.preg","ANE.juvenile",0.133333333333333,"POL","ANE","ANE.POL",0.0078,"N","preg","juvenile","N"
"ANE.juvenile","RHO.cyc",0.0232558139534884,"ANE","RHO","ANE.RHO",0.0114,"N","juvenile","cyc","N"
"RKS.juvenile","ANE.juvenile",0.0476190476190476,"RKS","ANE","ANE.RKS",0,"N","juvenile","juvenile","Y"
"ANE.juvenile","RKT.juvenile",0.0185185185185185,"ANE","RKT","ANE.RKT",0,"N","juvenile","juvenile","Y"
"ANE.cyc","SEM.juvenile",0.0416666666666667,"ANE","SEM","ANE.SEM",0,"N","cyc","juvenile","N"
"SKF.lact","ANE.cyc",0.0142857142857143,"SKF","ANE","ANE.SKF",0,"N","lact","cyc","N"
"ANE.juvenile","SQE.juvenile",0.2,"ANE","SQE","ANE.SQE",0.0072,"N","juvenile","juvenile","Y"
"TAW.lact","ANE.cyc",0.0333333333333333,"TAW","ANE","ANE.TAW",0.0396,"N","lact","cyc","N"
"TAW.preg","ANE.juvenile",0.147058823529412,"TAW","ANE","ANE.TAW",0.0396,"N","preg","juvenile","N"
"TAW.lact","ANE.juvenile",0.0465116279069767,"TAW","ANE","ANE.TAW",0.0396,"N","lact","juvenile","N"
"TAW.lact","ANE.preg",0.0434782608695652,"TAW","ANE","ANE.TAW",0.0396,"N","lact","preg","N"
"TDL.preg","ANE.cyc",0.176470588235294,"TDL","ANE","ANE.TDL",0.0158,"N","preg","cyc","N"
"ANE.preg","TOG.lact",0.0769230769230769,"ANE","TOG","ANE.TOG",0,"N","preg","lact","N"
"TTM.juvenile","ANE.juvenile",0.0169491525423729,"TTM","ANE","ANE.TTM",0.022,"N","juvenile","juvenile","Y"
"TUF.juvenile","ANE.juvenile",0.010989010989011,"TUF","ANE","ANE.TUF",0,"N","juvenile","juvenile","Y"
"ANE.juvenile","TUK.preg",0.0625,"ANE","TUK","ANE.TUK",0.097,"N","juvenile","preg","N"
"ANE.preg","TUX.juvenile",0.0833333333333333,"ANE","TUX","ANE.TUX",0.0848,"N","preg","juvenile","N"
"ANE.cyc","TUX.juvenile",0.0645161290322581,"ANE","TUX","ANE.TUX",0.0848,"N","cyc","juvenile","N"
"ANE.juvenile","TUX.juvenile",0.08,"ANE","TUX","ANE.TUX",0.0848,"N","juvenile","juvenile","Y"
"ANE.juvenile","VBE.preg",0.0208333333333333,"ANE","VBE","ANE.VBE",0.0051,"N","juvenile","preg","N"
"ANE.juvenile","WHN.lact",0.0208333333333333,"ANE","WHN","ANE.WHN",0,"N","juvenile","lact","N"
"ANE.juvenile","WNG.lact",0.024390243902439,"ANE","WNG","ANE.WNG",0.0024,"N","juvenile","lact","N"
"BLM.juvenile","ASN.cyc",0.0178571428571429,"BLM","ASN","ASN.BLM",7e-04,"N","juvenile","cyc","N"
"ASN.juvenile","BNG.juvenile",0.0169491525423729,"ASN","BNG","ASN.BNG",0.0175,"N","juvenile","juvenile","Y"
"ASN.cyc","BNG.preg",0.05,"ASN","BNG","ASN.BNG",0.0175,"N","cyc","preg","N"
"ASN.juvenile","BSS.lact",0.0298507462686567,"ASN","BSS","ASN.BSS",0.0185,"N","juvenile","lact","N"
"ASN.juvenile","DJY.juvenile",0.0476190476190476,"ASN","DJY","ASN.DJY",0,"N","juvenile","juvenile","Y"
"DOD.juvenile","ASN.juvenile",0.0163934426229508,"DOD","ASN","ASN.DOD",0.4687,"Y","juvenile","juvenile","Y"
"DOD.lact","ASN.juvenile",0.0142857142857143,"DOD","ASN","ASN.DOD",0.4687,"Y","lact","juvenile","N"
"DOD.cyc","ASN.juvenile",0.0161290322580645,"DOD","ASN","ASN.DOD",0.4687,"Y","cyc","juvenile","N"
"DOD.preg","ASN.juvenile",0.0317460317460317,"DOD","ASN","ASN.DOD",0.4687,"Y","preg","juvenile","N"
"ASN.cyc","DOD.preg",0.0344827586206897,"ASN","DOD","ASN.DOD",0.4687,"Y","cyc","preg","N"
"EDE.juvenile","ASN.juvenile",0.0141843971631206,"EDE","ASN","ASN.EDE",0.201,"Y","juvenile","juvenile","Y"
"ASN.juvenile","GMP.cyc",0.0212765957446809,"ASN","GMP","ASN.GMP",7e-04,"N","juvenile","cyc","N"
"GMP.preg","ASN.juvenile",0.0161290322580645,"GMP","ASN","ASN.GMP",7e-04,"N","preg","juvenile","N"
"ASN.juvenile","HFF.juvenile",0.0218978102189781,"ASN","HFF","ASN.HFF",0.1387,"Y","juvenile","juvenile","Y"
"HOW.juvenile","ASN.juvenile",0.0196078431372549,"HOW","ASN","ASN.HOW",0,"N","juvenile","juvenile","Y"
"KIY.preg","ASN.juvenile",0.00740740740740741,"KIY","ASN","ASN.KIY",0.0016,"N","preg","juvenile","N"
"ASN.juvenile","KIY.lact",0.00980392156862745,"ASN","KIY","ASN.KIY",0.0016,"N","juvenile","lact","N"
"LEN.cyc","ASN.preg",0.0212765957446809,"LEN","ASN","ASN.LEN",0.3179,"Y","cyc","preg","N"
"ASN.juvenile","LEN.preg",0.0235294117647059,"ASN","LEN","ASN.LEN",0.3179,"Y","juvenile","preg","N"
"ASN.juvenile","LEN.juvenile",0.0256410256410256,"ASN","LEN","ASN.LEN",0.3179,"Y","juvenile","juvenile","Y"
"ASN.cyc","LYR.juvenile",0.037037037037037,"ASN","LYR","ASN.LYR",0.0177,"N","cyc","juvenile","N"
"ASN.juvenile","NOE.juvenile",0.032258064516129,"ASN","NOE","ASN.NOE",0.0112,"N","juvenile","juvenile","Y"
"ASN.juvenile","OPY.juvenile",0.0307692307692308,"ASN","OPY","ASN.OPY",0,"N","juvenile","juvenile","Y"
"RSO.preg","ASN.preg",0.0555555555555556,"RSO","ASN","ASN.RSO",0,"N","preg","preg","Y"
"SKF.preg","ASN.cyc",0.0133333333333333,"SKF","ASN","ASN.SKF",0.2541,"Y","preg","cyc","N"
"ASN.juvenile","SKF.preg",0.00925925925925926,"ASN","SKF","ASN.SKF",0.2541,"Y","juvenile","preg","N"
"VLT.juvenile","ASN.juvenile",0.024390243902439,"VLT","ASN","ASN.VLT",0.0046,"N","juvenile","juvenile","Y"
"WHN.juvenile","ASN.juvenile",0.0136986301369863,"WHN","ASN","ASN.WHN",0,"N","juvenile","juvenile","Y"
"WLV.cyc","ASN.juvenile",0.0208333333333333,"WLV","ASN","ASN.WLV",0,"N","cyc","juvenile","N"
"WOF.preg","ASN.juvenile",0.0136986301369863,"WOF","ASN","ASN.WOF",0,"N","preg","juvenile","N"
"ASN.preg","WOF.cyc",0.03125,"ASN","WOF","ASN.WOF",0,"N","preg","cyc","N"
"WOF.lact","ASN.juvenile",0.0131578947368421,"WOF","ASN","ASN.WOF",0,"N","lact","juvenile","N"
"ASN.juvenile","ZEP.juvenile",0.0153846153846154,"ASN","ZEP","ASN.ZEP",0.0208,"N","juvenile","juvenile","Y"
"ASN.juvenile","ZIP.preg",0.015625,"ASN","ZIP","ASN.ZIP",0.0777,"N","juvenile","preg","N"
"ATH.juvenile","BAD.preg",0.0256410256410256,"ATH","BAD","ATH.BAD",0.1011,"N","juvenile","preg","N"
"ATH.cyc","BAD.cyc",0.0181818181818182,"ATH","BAD","ATH.BAD",0.1011,"N","cyc","cyc","Y"
"ATH.lact","BAD.lact",0.08,"ATH","BAD","ATH.BAD",0.1011,"N","lact","lact","Y"
"BAD.lact","ATH.preg",0.142857142857143,"BAD","ATH","ATH.BAD",0.1011,"N","lact","preg","N"
"ATH.juvenile","BAD.cyc",0.0363636363636364,"ATH","BAD","ATH.BAD",0.1011,"N","juvenile","cyc","N"
"ATH.cyc","BAD.preg",0.0277777777777778,"ATH","BAD","ATH.BAD",0.1011,"N","cyc","preg","N"
"ATH.cyc","CLO.juvenile",0.0769230769230769,"ATH","CLO","ATH.CLO",0,"N","cyc","juvenile","N"
"CLO.lact","ATH.preg",0.0285714285714286,"CLO","ATH","ATH.CLO",0,"N","lact","preg","N"
"CLO.lact","ATH.cyc",0.0357142857142857,"CLO","ATH","ATH.CLO",0,"N","lact","cyc","N"
"CLO.juvenile","ATH.preg",0.0285714285714286,"CLO","ATH","ATH.CLO",0,"N","juvenile","preg","N"
"CLO.juvenile","ATH.lact",0.025,"CLO","ATH","ATH.CLO",0,"N","juvenile","lact","N"
"CLV.juvenile","ATH.preg",0.0285714285714286,"CLV","ATH","ATH.CLV",0.0399,"N","juvenile","preg","N"
"ATH.cyc","CLV.juvenile",0.0714285714285714,"ATH","CLV","ATH.CLV",0.0399,"N","cyc","juvenile","N"
"ATH.lact","CLV.juvenile",0.024390243902439,"ATH","CLV","ATH.CLV",0.0399,"N","lact","juvenile","N"
"ATH.preg","COP.juvenile",0.0588235294117647,"ATH","COP","ATH.COP",0,"N","preg","juvenile","N"
"ATH.lact","COP.juvenile",0.0384615384615385,"ATH","COP","ATH.COP",0,"N","lact","juvenile","N"
"DUC.juvenile","ATH.preg",0.0416666666666667,"DUC","ATH","ATH.DUC",0.1273,"Y","juvenile","preg","N"
"EDE.juvenile","ATH.lact",0.00847457627118644,"EDE","ATH","ATH.EDE",4e-04,"N","juvenile","lact","N"
"FRL.juvenile","ATH.preg",0.0689655172413793,"FRL","ATH","ATH.FRL",0,"N","juvenile","preg","N"
"GAB.juvenile","ATH.preg",0.0434782608695652,"GAB","ATH","ATH.GAB",0.0529,"N","juvenile","preg","N"
"GAB.lact","ATH.cyc",0.0833333333333333,"GAB","ATH","ATH.GAB",0.0529,"N","lact","cyc","N"
"ATH.lact","HFF.juvenile",0.00826446280991736,"ATH","HFF","ATH.HFF",0,"N","lact","juvenile","N"
"ATH.cyc","HRS.juvenile",0.0294117647058824,"ATH","HRS","ATH.HRS",1e-04,"N","cyc","juvenile","N"
"IBX.preg","ATH.cyc",0.0714285714285714,"IBX","ATH","ATH.IBX",0,"N","preg","cyc","N"
"LIT.juvenile","ATH.juvenile",0.015625,"LIT","ATH","ATH.LIT",0.0165,"N","juvenile","juvenile","Y"
"ATH.lact","PEG.preg",0.00840336134453781,"ATH","PEG","ATH.PEG",0,"N","lact","preg","N"
"ATH.preg","POL.juvenile",0.135135135135135,"ATH","POL","ATH.POL",0.025,"N","preg","juvenile","N"
"POL.juvenile","ATH.cyc",0.0909090909090909,"POL","ATH","ATH.POL",0.025,"N","juvenile","cyc","N"
"POL.lact","ATH.cyc",0.0714285714285714,"POL","ATH","ATH.POL",0.025,"N","lact","cyc","N"
"ATH.lact","POL.juvenile",0.0208333333333333,"ATH","POL","ATH.POL",0.025,"N","lact","juvenile","N"
"ATH.lact","SHC.preg",0.0163934426229508,"ATH","SHC","ATH.SHC",0,"N","lact","preg","N"
"SOG.cyc","ATH.preg",0.0645161290322581,"SOG","ATH","ATH.SOG",0,"N","cyc","preg","N"
"TAW.juvenile","ATH.lact",0.032258064516129,"TAW","ATH","ATH.TAW",0.0452,"N","juvenile","lact","N"
"TAW.lact","ATH.lact",0.0882352941176471,"TAW","ATH","ATH.TAW",0.0452,"N","lact","lact","Y"
"TAW.preg","ATH.preg",0.153846153846154,"TAW","ATH","ATH.TAW",0.0452,"N","preg","preg","Y"
"ATH.preg","TUK.cyc",0.024390243902439,"ATH","TUK","ATH.TUK",0,"N","preg","cyc","N"
"ATH.juvenile","TUK.juvenile",0.08,"ATH","TUK","ATH.TUK",0,"N","juvenile","juvenile","Y"
"ATH.preg","TUK.preg",0.145833333333333,"ATH","TUK","ATH.TUK",0,"N","preg","preg","Y"
"ATH.cyc","TUK.cyc",0.0285714285714286,"ATH","TUK","ATH.TUK",0,"N","cyc","cyc","Y"
"ATH.lact","UVE.cyc",0.0416666666666667,"ATH","UVE","ATH.UVE",0,"N","lact","cyc","N"
"ATH.preg","UVE.lact",0.0416666666666667,"ATH","UVE","ATH.UVE",0,"N","preg","lact","N"
"ATH.lact","WHE.juvenile",0.0416666666666667,"ATH","WHE","ATH.WHE",0.0132,"N","lact","juvenile","N"
"ATH.preg","WNG.juvenile",0.0227272727272727,"ATH","WNG","ATH.WNG",0,"N","preg","juvenile","N"
"ATH.lact","WOF.lact",0.0147058823529412,"ATH","WOF","ATH.WOF",0.0226,"N","lact","lact","Y"
"BAD.lact","CLO.juvenile",0.0232558139534884,"BAD","CLO","BAD.CLO",0,"N","lact","juvenile","N"
"BAD.preg","CLO.juvenile",0.0888888888888889,"BAD","CLO","BAD.CLO",0,"N","preg","juvenile","N"
