Pair,ID1,ID2,IDPair,DyadML
230,BIG,HBB,BIG.HBB,0.0622
231,BIG,AGA,BIG.AGA,0.0109
232,BIG,ART,BIG.ART,0.0372
233,BIG,CLV,BIG.CLV,0
234,BIG,EED,BIG.EED,0
235,BIG,HRS,BIG.HRS,0
236,BIG,LUG,BIG.LUG,0
237,BIG,PKY,BIG.PKY,0.0138
238,BIG,ZUL,BIG.ZUL,0
239,BIG,FRE,BIG.FRE,0
240,BIG,MRS,BIG.MRS,0
241,BIG,WAB,BIG.WAB,0
242,BIG,GRB,BIG.GRB,0.0057
243,BIG,RGO,BIG.RGO,0.0154
244,BIG,IBL,BIG.IBL,0.0031
245,BIG,RHO,BIG.RHO,0
246,BIG,CYA,BIG.CYA,0.0174
247,BIG,CUR,BIG.CUR,0.0084
248,BIG,FUT,BIG.FUT,0
249,BIG,PEG,BIG.PEG,0.0061
250,BIG,RIP,BIG.RIP,0
251,BIG,BRE,BIG.BRE,0.003
252,BIG,WHN,BIG.WHN,0.0766
253,BIG,GAB,BIG.GAB,0.0623
254,BIG,CEY,BIG.CEY,0.0187
255,BIG,UMM,BIG.UMM,0
256,BIG,WAC,BIG.WAC,0.0041
257,BIG,AMP,BIG.AMP,0.0185
258,BIG,DOD,BIG.DOD,0
259,BIG,RKL,BIG.RKL,0
260,BIG,SON,BIG.SON,0.0233
261,BIG,UNK1443,BIG.UNK1443,0.0115
262,BIG,UNK1388,BIG.UNK1388,0
263,BIG,PAS,BIG.PAS,0
264,BIG,DBO,BIG.DBO,0.0077
265,BIG,EVI,BIG.EVI,0
266,BIG,STT,BIG.STT,0
267,BIG,PLR,BIG.PLR,0.0078
268,BIG,CTN,BIG.CTN,0
269,BIG,UNK1447,BIG.UNK1447,0
270,BIG,BLW,BIG.BLW,0.0194
271,BIG,UNK1449,BIG.UNK1449,0
272,BIG,WHP,BIG.WHP,0.2035
273,BIG,WDS,BIG.WDS,0
274,BIG,MSC,BIG.MSC,0.004
275,BIG,TIH,BIG.TIH,0.0003
276,BIG,DIC,BIG.DIC,0.0027
277,BIG,SMF,BIG.SMF,0.0081
278,BIG,VEE,BIG.VEE,0.0257
279,BIG,WLY,BIG.WLY,0.0029
280,BIG,FID,BIG.FID,0.0347
281,BIG,TAL,BIG.TAL,0
282,BIG,ANW,BIG.ANW,0
283,BIG,MZT,BIG.MZT,0
284,BIG,BBF,BIG.BBF,0
285,BIG,NES,BIG.NES,0
286,BIG,JUM,BIG.JUM,0.0074
287,BIG,CF2013_1AF,BIG.CF2013_1AF,0.0035
288,BIG,LDO,BIG.LDO,0
289,BIG,FAO,BIG.FAO,0.0108
290,BIG,HAB,BIG.HAB,0.003
291,BIG,PGA1,BIG.PGA1,0.013
292,BIG,SHO1,BIG.SHO1,0.0281
293,BIG,SGG1,BIG.SGG1,0
294,BIG,PCK,BIG.PCK,0
295,BIG,BOM,BIG.BOM,0
296,BIG,IND,BIG.IND,0.0076
297,BIG,LEV,BIG.LEV,0.0307
298,BIG,CLA,BIG.CLA,0.0246
299,BIG,KIR,BIG.KIR,0.0025
300,BIG,NUM,BIG.NUM,0
301,BIG,DNZ,BIG.DNZ,0
302,BIG,GGL,BIG.GGL,0
303,BIG,GMP,BIG.GMP,0
304,BIG,SHB,BIG.SHB,0
305,BIG,LBL,BIG.LBL,0.0115
306,BIG,ZEU,BIG.ZEU,0
307,BIG,BOJ,BIG.BOJ,0
308,BIG,MTO,BIG.MTO,0
309,BIG,CRT,BIG.CRT,0
310,BIG,BLN,BIG.BLN,0.0263
311,BIG,ATW,BIG.ATW,0.0103
312,BIG,DOU,BIG.DOU,0
313,BIG,CEM,BIG.CEM,0
314,BIG,UNK1241,BIG.UNK1241,0.0002
315,BIG,UNK1522,BIG.UNK1522,0
316,BIG,UNK1528,BIG.UNK1528,0.0189
317,BIG,SIZ,BIG.SIZ,0
318,BIG,PMN,BIG.PMN,0
319,BIG,TUS,BIG.TUS,0
320,BIG,RPC,BIG.RPC,0
321,BIG,PSP,BIG.PSP,0.0231
322,BIG,RLF,BIG.RLF,0
323,BIG,TAS,BIG.TAS,0.0215
324,BIG,PLS,BIG.PLS,0
325,BIG,HFT,BIG.HFT,0.1258
326,BIG,KEE,BIG.KEE,0
327,BIG,DPL,BIG.DPL,0
328,BIG,PMT,BIG.PMT,0
329,BIG,HYP,BIG.HYP,0
330,BIG,DCK,BIG.DCK,0
331,BIG,DOP,BIG.DOP,0
332,BIG,UNK1518,BIG.UNK1518,0.0106
333,BIG,ACF,BIG.ACF,0.0057
334,BIG,PPP,BIG.PPP,0
